LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2045;448599.2
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2046;458369.7
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2047;468394.9
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2048;478639.9
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2049;489074.1
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2050;499674.8
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2051;510433.2
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2052;521297.3
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2053;532273.4
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2054;543370.8
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2055;554603.8
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2056;565992
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2057;577556.5
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2058;589313.9
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2059;601283.4
DNK;GDPLTFORECAST;TOT;MLN_USD;A;2060;613481.2
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2016;212047.3927
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2017;217633.2905
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2018;224041.5995
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2019;229725.3659
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2020;232163.7
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2021;234100.7
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2022;236272.5
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2023;238810.6
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2024;241694.4
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2025;244847
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2026;248195.1
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2027;251682.7
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2028;255275.9
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2029;258962.4
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2030;262742.1
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2031;266620.7
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2032;270608.1
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2033;274712.8
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2034;278935.6
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2035;283271.2
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2036;287714
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2037;292261.8
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2038;296911.4
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2039;301649.2
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2040;306457.3
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2041;311326.2
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2042;316258.6
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2043;321265.5
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2044;326360.2
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2045;331550
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2046;336833.5
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2047;342200
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2048;347632
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2049;353110.9
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2050;358623.6
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2051;364163.8
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2052;369731.9
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2053;375330.7
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2054;380966
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2055;386647.6
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2056;392386.2
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2057;398237.7
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2058;404211.2
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2059;410316.1
FIN;GDPLTFORECAST;TOT;MLN_USD;A;2060;416557.6
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2016;2487671.986
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2017;2545368.129
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2018;2593640.214
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2019;2643453.351
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2020;2683031
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2021;2719299
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2022;2755137
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2023;2792692
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2024;2833075
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2025;2876079
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2026;2921277
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2027;2968034
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2028;3016091
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2029;3065297
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2030;3115610
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2031;3167079
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2032;3219833
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2033;3274121
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2034;3330294
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2035;3388701
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2036;3449585
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2037;3513037
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2038;3579093
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2039;3647852
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2040;3719461
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2041;3794115
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2042;3872032
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2043;3953376
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2044;4038261
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2045;4126719
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2046;4218832
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2047;4314374
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2048;4413557
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2049;4516559
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2050;4623462
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2051;4734310
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2052;4849628
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2053;4969448
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2054;5093741
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2055;5222398
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2056;5355375
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2057;5492252
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2058;5633222
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2059;5778500
FRA;GDPLTFORECAST;TOT;MLN_USD;A;2060;5928296
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2016;3543700.977
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2017;3632788.76
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2018;3710458.097
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2019;3789670.771
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2020;3831374
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2021;3869243
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2022;3908514
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2023;3949638
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2024;3992895
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2025;4038568
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2026;4085817
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2027;4134207
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2028;4183591
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2029;4233948
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2030;4285332
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2031;4337857
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2032;4391689
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2033;4447117
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2034;4504416
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2035;4563811
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2036;4625464
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2037;4689429
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2038;4755719
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2039;4824214
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2040;4894689
DEU;GDPLTFORECAST;TOT;MLN_USD;A;2041;4966905
