Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),Primary energy (PJ),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year)
1952,3724.0,Japan,JPN,85659000,Japan,JPN,214.1223586,747.5881930251365,770.84049096,381773988550.4468,721.5779939743426,25809562.848312933
1953,3944.0,Japan,JPN,86870000,Japan,JPN,222.1580315,811.4115358017622,799.7689134,399577843301.00507,842.0371852105997,26163164.578735616
1954,4116.0,Japan,JPN,87981000,Japan,JPN,221.13730809999998,887.1495567947429,796.09430916,419123474172.9703,949.8978303481115,26516766.30915838
1955,4417.0,Japan,JPN,89018000,Japan,JPN,231.026617,978.4821253919669,831.6958212,440679627699.00903,1136.7687110326424,26870368.039581064
1956,4699.0,Japan,JPN,90004000,Japan,JPN,264.6439796,1090.7784035110494,952.7183265600002,464573336304.1827,1332.4126870987152,27223969.770003825
1957,4999.0,Japan,JPN,90954000,Japan,JPN,347.2658032,1232.19188348491,1250.15689152,491206625517.7906,1558.2277484934193,27577571.50042651
1958,5243.0,Japan,JPN,91878000,Japan,JPN,340.927488,1415.7340998856632,1227.3389568,521079317471.7876,1763.1939563729375,27931173.230849195
1959,5665.0,Japan,JPN,92782000,Japan,JPN,459.89852699999994,1663.526077209856,1655.6346972,554820693949.7467,2117.8814143665113,31860827.989932545
1960,6354.0,Japan,JPN,93674000,Japan,JPN,658.6611052999999,2016.461730475066,2371.1799790799996,593234312791.2109,2724.927277224685,37774606.864069544
1961,7055.0,Japan,JPN,94561000,Japan,JPN,827.2980841,2559.485107669809,2978.27310276,637362826658.805,3390.946382368097,43688385.738206536
1962,7614.0,Japan,JPN,95459000,Japan,JPN,945.5010568,3450.5397038755473,3403.80380448,688584056502.0078,3958.977168227587,49602164.61234353
1963,8176.0,Japan,JPN,96389000,Japan,JPN,1190.315307,4445.453334026551,4285.1351052,748757438524.4923,4545.187534523438,55515943.48648053
1964,9035.0,Japan,JPN,97379000,Japan,JPN,1467.783558,5440.366964177555,5284.020808800001,820454609212.7971,5412.756973503775,61429722.360617526
1965,9459.0,Japan,JPN,98447000,Japan,JPN,1809.931,6435.280594328558,6515.7516000000005,907336496916.4316,5887.439320895705,67343501.23475452
1966,10370.0,Japan,JPN,99596000,Japan,JPN,1999.612,7430.194224479143,7198.6032000000005,1014798382184.364,6793.6678414009175,70946515.58975013
1967,11400.0,Japan,JPN,100822000,Japan,JPN,2292.715,8425.107854630147,8253.774000000001,1151134935099.3625,7774.903672222412,70324614.73942189
1968,12725.0,Japan,JPN,102124000,Japan,JPN,2556.479,9420.02148478115,9203.3244,1329790129625.0137,8947.447325648427,69702713.88909364
1969,14145.0,Japan,JPN,103496000,Japan,JPN,2913.5570000000002,10414.935114932154,10488.8052,1454510472933.6345,10124.019324428818,69080813.0387654
1970,15484.0,Japan,JPN,104929000,Japan,JPN,3257.5809999999997,11409.848745083158,11727.291599999999,1555337593509.8472,11179.859722993911,68458912.18843715
1971,16004.0,Japan,JPN,106427000,Japan,JPN,3468.1040000000003,12404.76237523416,12485.174400000002,1656164714086.06,11665.331119434468,67837011.33810891
1972,17110.0,Japan,JPN,107976000,Japan,JPN,3633.553,12753.513701420137,13080.7908,1756991834662.2727,12509.676290733714,67215110.48778066
