Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1874,3438.0,France,FRA,38518440,France,FRA,311.5138896,798.7420989010523,115958944282.67657,1231.1573228277389,8.92392329091241e-09,1121.45000256
1875,3537.0,France,FRA,38604528,France,FRA,313.0726802,806.5223729491835,117026272632.39899,1267.462753702081,8.943428385114007e-09,1127.06164872
1876,3233.0,France,FRA,38692944,France,FRA,315.9949803,814.4557078969992,118113431668.57959,1166.1547336723754,8.962933479315605e-09,1137.58192908
1877,3390.0,France,FRA,38738812,France,FRA,318.9175464,822.546665352511,119220979247.21646,1221.4184507226403,8.982438573517197e-09,1148.10316704
1878,3333.0,France,FRA,38797148,France,FRA,330.42769460000005,830.7999900060212,120349494346.39275,1203.5930720784431,9.001943667718796e-09,1189.5397005600003
1879,3113.0,France,FRA,38883808,France,FRA,342.117161,839.2206189083363,121499578075.51096,1130.0609724510844,9.021448761920392e-09,1231.6217796
1880,3379.0,France,FRA,39014052,France,FRA,353.7648574,847.8136913189985,122671854742.95215,1225.8737172874485,9.040953856121984e-09,1273.55348664
1881,3497.0,France,FRA,39174316,France,FRA,364.8456,856.5845591658132,123866972986.14456,1271.4071712463387,9.060458950323583e-09,1313.44416
1882,3647.0,France,FRA,39306480,France,FRA,375.9263425,865.5387981604031,125085606968.33965,1327.1586985451959,9.07996404452518e-09,1353.334833
1883,3647.0,France,FRA,39427512,France,FRA,380.180226,874.6822196183008,126328457646.73495,1331.016499899128,9.099469138726773e-09,1368.6488136
1884,3591.0,France,FRA,39566808,France,FRA,373.39620110000004,884.0208830362347,127596254116.9563,1316.0821098565423,9.11897423292837e-09,1344.2263239600002
1885,3518.0,France,FRA,39662136,France,FRA,366.61191010000005,893.5611094838085,128889755039.3177,1293.7097201077636,9.138479327129967e-09,1319.8028763600003
1886,3566.0,France,FRA,39746996,France,FRA,363.70211439999997,903.3094958717658,130209750152.72134,1313.0478601674988,9.15798442133156e-09,1309.32761184
1887,3585.0,France,FRA,39853876,France,FRA,372.56665519999996,913.2729301645235,131557061882.546,1323.0090505450057,9.177489515533157e-09,1341.2399587199998
1888,3617.0,France,FRA,39916880,France,FRA,381.431196,923.4586076106917,132932547049.4023,1336.1461624751548,9.196994609734754e-09,1373.1523056
1889,3701.0,France,FRA,39971424,France,FRA,390.29600289999996,933.874048071951,134337098686.21497,1367.1381381217027,9.216499703936347e-09,1405.06561044
1890,3787.0,France,FRA,40015500,France,FRA,416.6129327,944.5271145379932,135771647971.73027,1398.4542855896009,9.236004798137944e-09,1499.80655772
1891,3877.0,France,FRA,40058668,France,FRA,416.79677369999996,955.4260329233289,137237166289.2446,1431.0820469472908,9.255509892339543e-09,1500.46838532
1892,3974.0,France,FRA,40104664,France,FRA,416.79677369999996,966.5794132507089,138734667420.11972,1466.1722577478386,9.275014986541135e-09,1500.46838532
1893,4041.0,France,FRA,40159220,France,FRA,422.6243466,977.9962723358082,140265209882.493,1491.1650471867667,9.294520080742731e-09,1521.44764776
1894,4186.0,France,FRA,40217604,France,FRA,436.2831197,989.6860580987816,141829899426.5207,1543.097344119937,9.31402517494433e-09,1570.61923092
1895,4095.0,France,FRA,40273076,France,FRA,426.7853784,1001.6586756404567,143429891698.5153,1513.7540813323676,9.333530269145922e-09,1536.42736224
1896,4280.0,France,FRA,40331468,France,FRA,440.5319482,1013.9245152344288,145066395087.46616,1579.4452571866693,9.35303536334752e-09,1585.91501352
1897,4207.0,France,FRA,40399332,France,FRA,458.57789620000005,1026.4944824013196,146740673768.6782,1556.8191820631253,9.372540457549117e-09,1650.8804263200002
1898,4399.0,France,FRA,40472940,France,FRA,476.62357810000003,1039.3800302481638,148454050960.63986,1625.4075631974008,9.392045551750709e-09,1715.84488116
1899,4640.0,France,FRA,40551288,France,FRA,494.66925999999995,1052.593194274489,150207912412.75433,1710.5418490123966,9.411550645952308e-09,1780.8093359999998
1900,4584.0,France,FRA,40628636,France,FRA,500.70328820000003,1066.146629867425,152003710143.25424,1694.4801706742576,9.431055740153904e-09,1802.5318375200002
1901,4505.0,France,FRA,40706904,France,FRA,485.9289648,1080.0536527313711,153842966448.49075,1670.478753033189,9.450560834355498e-09,1749.3442732800002
1902,4423.0,France,FRA,40789608,France,FRA,488.3377871,1094.3282825237227,155727278206.864,1645.4406743010366,9.470065928557095e-09,1758.01603356
1903,4513.0,France,FRA,40843224,France,FRA,512.8580771000001,1108.9852899972311,157658321502.97015,1678.389966664616,9.489571022758692e-09,1846.2890775600004
1904,4538.0,France,FRA,40900292,France,FRA,505.25993719999997,1124.0402479822387,159637856600.109,1689.1417885094684,9.509076116960285e-09,1818.93577392
1905,4613.0,France,FRA,40958592,France,FRA,497.66179739999995,1139.509586578694,161667733292.1597,1717.1045944370328,9.528581211161882e-09,1791.5824706399999
1906,4691.0,France,FRA,41025020,France,FRA,525.8831176,1155.4106529691694,163749896669.0259,1746.3955799013165,9.548086305363479e-09,1893.17922336
1907,4894.0,France,FRA,41066652,France,FRA,549.733226,1171.7617763106402,165886393333.42258,1817.258808464245,9.567591399565072e-09,1979.0396136
1908,4854.0,France,FRA,41135004,France,FRA,555.1606588,1188.582338215371,168079378110.7709,1806.4084043643168,9.587096493766669e-09,1998.57837168
1909,5048.0,France,FRA,41209572,France,FRA,560.5878255,1205.8928493907,170331121298.44376,1875.3455767058072,9.606601587968266e-09,2018.1161718
1910,4726.0,France,FRA,41294568,France,FRA,566.9206286,1223.7150330748918,172644016505.62872,1768.9647511129642,9.62610668216986e-09,2040.91426296
1911,5180.0,France,FRA,41383848,France,FRA,585.9161112,1242.071915982693,175020589140.7198,1927.3016254596764,9.645611776371456e-09,2109.29800032
1912,5601.0,France,FRA,41465112,France,FRA,611.7818191,1260.987927561162,177463505609.50534,2072.0781906370153,9.665116870573055e-09,2202.41454876
1913,5555.0,France,FRA,41523004,France,FRA,576.0360551,1280.489008455404,179975583294.58337,2059.3352164583066,9.684621964774647e-09,2073.72979836
1914,5158.0,France,FRA,41231120,France,FRA,463.8393134,1300.602729196882,182559801394.52667,1913.4208512381929,9.704127058976245e-09,1669.82152824
1915,5177.0,France,FRA,40705028,France,FRA,432.180087,1321.3584202562643,185219312710.4701,1897.5347796229848,9.723632153177842e-09,1555.8483132000001
1916,5520.0,France,FRA,39975432,France,FRA,453.50989780000003,1342.787314750925,187957456478.16263,1978.56867821824,9.743137247379434e-09,1632.63563208
1917,4748.0,France,FRA,39328984,France,FRA,473.9471088,1364.9227052673511,190777772355.29517,1698.609635116785,9.762642341581032e-09,1706.2095916800001
1918,3819.0,France,FRA,38932952,France,FRA,454.9513601,1387.800116454514,193684015687.29697,1373.6693305101883,9.782147435782629e-09,1637.82489636
1919,4481.0,France,FRA,38836732,France,FRA,461.97004169999997,1411.4574952700946,196680174190.0403,1591.410372482084,9.801652529984223e-09,1663.0921501199998
1920,5144.0,France,FRA,39069936,France,FRA,565.1348968,1435.9354210225629,199770486205.29465,1817.2220468384085,9.82115762418582e-09,2034.48562848
1921,4901.0,France,FRA,39310488,France,FRA,542.9734117,1461.2773376546543,202959460704.6723,1748.1661778606176,9.840662718387416e-09,1954.7042821200002
