Year,GDP per capita,Entity,Code,Population,Primary energy (PJ),Primary energy (TWh),Energy(PJ)-Time(Year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),GDP(2011$)-Time(year)
1960,13952.0,Canada,CAN,17847000,3271.363,1053.3876050000001,3309.987726521235,3577.3343569572576,143024100.3165378,251956610218.07324
1961,14080.0,Canada,CAN,18234000,3455.3309999999997,1112.625791,3455.75709382875,3674.9615257467985,141894249.37033728,270511326564.97855
1962,14787.0,Canada,CAN,18597000,3653.498,1176.436094,3614.9570819297765,3904.5757886541915,140764398.42413712,289066042911.88385
1963,15248.0,Canada,CAN,18943000,3851.665,1240.246396,3789.533497860511,4077.7586305880636,139634547.47793663,307620759258.7892
1964,15938.0,Canada,CAN,19284000,4049.8320000000003,1304.056698,3981.827095671973,4307.635348024546,138504696.5317361,326175475605.69446
1965,16694.0,Canada,CAN,19628000,4247.999,1367.8670000000002,4194.679137616545,4557.753411860095,137374845.58553562,344730191952.5998
1966,17448.0,Canada,CAN,19976000,4376.523,1455.305,4431.572724604068,4811.779508695911,136244994.6393351,363284908299.5051
1967,17658.0,Canada,CAN,20325000,4626.059,1522.283,4696.82488273595,4936.663062413438,135115143.6931346,381839624646.4104
1968,18297.0,Canada,CAN,20675000,4895.442,1621.128,4995.852025903704,5168.202373016249,133985292.74693444,400394340993.31573
1969,18988.0,Canada,CAN,21025000,5278.629,1718.3220000000001,5335.543718760297,5414.591251148538,132855441.80073394,418949057340.221
1970,19207.0,Canada,CAN,21374000,5631.41,1840.1629999999998,5724.800047687,5546.068665007109,131725590.85453343,437503773687.12634
1971,20024.0,Canada,CAN,21723000,6012.008000000001,1897.777,6175.322727582682,5826.251886623266,130595739.90833293,456058490034.0317
1972,20837.0,Canada,CAN,22072000,6435.59,2041.2910000000002,6577.867733015737,6105.869304070083,129465888.96213242,474613206380.9299
1973,22058.0,Canada,CAN,22415000,6411.834,2182.672,6730.539114635729,6482.219522243096,128336038.01593192,493167922727.83514
1974,22643.0,Canada,CAN,22746000,6861.628000000001,2249.822,6883.210496255779,6700.713430060734,127206187.06973177,511722639074.7405
1975,22819.0,Canada,CAN,23059000,6954.519,2210.034,7035.88187787577,6816.896257467689,126076336.12353127,530277355421.64575
1976,23754.0,Canada,CAN,23355000,7498.057,2344.444,7188.55325949582,7108.41224197771,124946485.17733076,548832071768.5511
1977,24265.0,Canada,CAN,23634000,7535.213000000001,2482.2929999999997,7341.224641115812,7293.9596107975585,123816634.23113026,567386788115.4564
1978,24994.0,Canada,CAN,23902000,7979.2609999999995,2515.0370000000003,7493.896022735804,7525.278564793189,122686783.28492975,585941504462.3617
1979,25775.0,Canada,CAN,24161000,7987.991999999999,2590.779,7646.567404355854,7762.8102627273365,121556932.33872923,604496220809.267
1980,25784.0,Canada,CAN,24417000,7876.523,2643.8990000000003,7799.2387859758455,7825.394238500442,120427081.39252909,623050937156.1724
1981,26256.0,Canada,CAN,24668000,7647.371999999999,2613.583,7951.9101675958955,7988.945858626502,119297230.44632858,641605653503.0776
1982,25151.0,Canada,CAN,24917000,8137.835,2525.188,8104.581549215887,7799.022840972661,118167379.50012808,660160369849.9829
1983,25625.0,Canada,CAN,25171000,8504.22,2507.965,8257.252930835937,7965.034115782002,117037528.55392757,678715086196.8883
1984,26836.0,Canada,CAN,25445000,8183.746999999999,2670.922,8409.924312455929,8295.056413980694,115907677.60772707,697269802543.7936
1985,28025.0,Canada,CAN,25745000,8039.767,2755.8509999999997,8562.595694075979,8614.452158247434,114777826.66152656,715824518890.6989
1986,28472.0,Canada,CAN,26076000,8504.457,2762.85,8715.26707569597,8779.909034051863,113647975.71532641,734379235237.597
1987,29246.0,Canada,CAN,26433000,8945.324,2857.857,8867.93845731602,9012.613952833928,112518124.76912591,752933951584.5024
1988,30275.0,Canada,CAN,26806000,9149.495,2974.5190000000002,9020.609838936012,9289.564849360379,111388273.8229254,771488667931.4077
1989,30458.0,Canada,CAN,27179000,9117.646999999999,3004.278,9173.281220556062,9401.478430889521,110258422.8767249,790043384278.313
1990,30082.0,Canada,CAN,27541000,8981.953000000001,2949.8,9325.952602176054,9406.026144982003,109128571.9305244,808598100625.2183
1991,29151.7,Canada,CAN,27889000,9261.605,2955.765,9478.623983796104,9299.73384569081,107998720.98432389,827152816972.1237
1992,29141.19,Canada,CAN,28224000,9585.878,3029.434,9631.295365416096,9365.09128498014,106868870.03812373,845707533319.0289
1993,29657.57,Canada,CAN,28548000,9750.479,3096.948,9783.966747036087,9527.395673536812,105739019.09192322,871196159064.6951
1994,30745.82,Canada,CAN,28861000,10039.018,3211.7740000000003,9936.638128656137,9785.787945758386,104609168.14572272,903778116083.8136
1995,31330.72,Canada,CAN,29164000,10415.485,3280.275,10089.309510276129,9943.643608292707,103479317.19952221,936360073102.9323
1996,31594.24,Canada,CAN,29458000,10596.622,3371.2070000000003,10241.980891896179,10041.326034535708,102349466.2533217,968942030122.0508
1997,32709.69,Canada,CAN,29742000,10245.388,3397.19,10394.65227351617,10270.963868599252,101219615.3071212,1001523987141.1552
1998,33785.75,Canada,CAN,30022000,10488.122,3350.327,10547.32365513622,10479.451561780816,100089764.36092106,1034105944160.2738
1999,35345.72,Canada,CAN,30303000,10765.332,3457.071,10699.995036756212,10738.118127845233,98959913.41472055,1066687901179.3923
2000,36942.56,Canada,CAN,30588000,11032.196000000002,3557.887,10852.666418376262,10975.618591352995,97830062.46852005,1099269858198.511
2001,37307.21,Canada,CAN,30880000,10815.524,3471.46,11005.337799996254,11056.776651187836,96700211.52231954,1131851815217.6296
2002,38123.99,Canada,CAN,31178000,11389.192,3578.257,11136.908333854954,11182.565290872704,95570360.57611904,1164433772236.748
2003,38559.98,Canada,CAN,31488000,11533.066,3594.0840000000003,11203.777654235339,11264.045295982112,94440509.62991853,1197015729255.8667
2004,39491.57,Canada,CAN,31815000,11286.525,3636.6940000000004,11270.646974615753,11387.76360647974,93310658.68371837,1229597686274.9712
2005,40485.02,Canada,CAN,32164000,11109.85,3673.987,11337.516294996167,11506.873089626824,92180807.73751786,1262179643294.0896
2006,41247.15,Canada,CAN,32537000,11283.328000000001,3626.585,11404.385615376552,11598.81235711628,91050956.79131736,1294761600313.2083
2007,41806.87,Canada,CAN,32931000,11680.48624,3754.236,11471.254935756966,11670.098338668531,89921105.84511685,1327343557332.327
2008,41896.43,Canada,CAN,33338000,11634.65394,3739.505,11538.124256137351,11707.691500789464,88791254.89891635,1359925514351.4456
2009,40312.62,Canada,CAN,33746000,11006.90928,3537.741,11604.993576517765,11637.466531062037,87661403.95271584,1392507471370.564
2010,41209.43,Canada,CAN,34148000,11240.812329999999,3612.92,11671.86289689815,11726.382760423932,86531553.0065157,1425089428389.6826
2011,42197.0,Canada,CAN,34539000,11758.187390000001,3779.21,11738.732217278564,11806.746394265223,85401702.06031519,1457671385408.787
2012,42445.0,Canada,CAN,34922000,11640.07069,3741.2459999999996,11805.601537658978,11841.011475263676,84271851.11411469,1490253342427.9055
2013,42994.0,Canada,CAN,35297000,11997.27695,3856.0559999999996,11872.470858039364,11883.793663741439,83142000.16791418,1522835299447.0242
2014,43607.0,Canada,CAN,35664000,12127.06407,3897.7709999999997,11939.340178419778,11922.033692404215,82012149.22171368,1555417256466.1428
2015,43619.0,Canada,CAN,36027000,12093.9507,3887.1279999999997,12006.209498800163,11936.280579867527,80882298.27551317,1587999213485.2615
2016,43745.0,Canada,CAN,36383000,12044.714670000001,3871.303,12073.078819180577,11952.060345597749,79752447.32931301,1620581170504.38
2017,44591.64,Canada,CAN,36732000,12194.0593,3919.304,12139.948139560991,11980.938930137227,78622596.3831125,1653163127523.4985
2018,44868.74,Canada,CAN,37075000,12401.52269,3985.985,12206.817459941376,11992.555299803496,77492745.436912,1685745084542.603
