Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1947,4498.0,Italy,ITA,46019012,Italy,ITA,287.2961076,1234.2431111628132,263190113263.72604,943.2733471108473,173708209.75796688,1034.26598736
1948,4814.0,Italy,ITA,46354796,Italy,ITA,291.6119503,1258.3767909066696,272175540594.08533,1007.7506233861544,172938755.99837232,1049.80302108
1949,5188.0,Italy,ITA,46463648,Italy,ITA,307.8201775,1283.473085241995,281796187562.6092,1084.0046175110667,172169302.2387778,1108.1526390000001
1950,5582.0,Italy,ITA,46599000,Italy,ITA,324.44862,1309.5907595328395,292121882125.6751,1170.6396264781208,171399848.47918323,1168.015032
1951,5958.0,Italy,ITA,47010000,Italy,ITA,356.4445711,1336.793461818826,303233076188.38574,1267.2035986677336,170630394.71958837,1283.20045596
1952,6371.0,Italy,ITA,47391000,Italy,ITA,361.6342316,1365.1502406847967,315222945965.1785,1379.2942660963702,169860940.95999384,1301.8832337600002
1953,6790.0,Italy,ITA,47737000,Italy,ITA,394.9961706,1394.7361304708907,328200011144.9864,1499.744914808997,169091487.2003993,1421.9862141600001
1954,7092.0,Italy,ITA,48051000,Italy,ITA,428.3578218,1425.632814265294,342291428786.72614,1594.0025237411196,168322033.44080475,1542.0881584800002
1955,7453.0,Italy,ITA,48336000,Italy,ITA,441.50739869999995,1457.9293770143904,357647173831.5421,1708.2391423447332,167552579.6812099,1589.4266353199998
1956,7745.0,Italy,ITA,48599000,Italy,ITA,450.28702300000003,1491.7231633723197,374445397734.4782,1805.9641273998423,166783125.92161536,1621.0332828
1957,8158.0,Italy,ITA,48852000,Italy,ITA,499.35408190000004,1527.1207576877187,392899371648.39307,1943.7808388566343,166013672.16202083,1797.6746948400003
1958,8544.0,Italy,ITA,49110000,Italy,ITA,484.67733849999996,1564.239106908395,413266589143.0695,2078.5245399258542,165244218.40242627,1744.8384185999998
1959,9011.0,Italy,ITA,49388000,Italy,ITA,544.5370263,1603.2068113261348,435860854927.9415,2245.130080004228,164474764.64283141,1960.3332946799999
1960,9430.0,Italy,ITA,49700000,Italy,ITA,605.7802588999999,2027.289371558676,461068568432.72986,2402.8464972081056,166291159.35493416,2180.80893204
1961,10158.0,Italy,ITA,50052000,Italy,ITA,669.3018651000001,2312.653388237384,489371004739.04047,2672.19253098193,170548654.5942915,2409.4867143600004
1962,10882.0,Italy,ITA,50442000,Italy,ITA,732.8237591,2598.017404916027,521375338404.7256,2948.3943757240936,174806149.8336476,2638.16553276
1963,11576.0,Italy,ITA,50856000,Italy,ITA,796.3453653,2883.3814215946695,557858692681.9508,3218.4744006329647,179063645.07300368,2866.84331508
1964,11934.0,Italy,ITA,51273000,Italy,ITA,859.8672593,3168.7454382733777,597810935462.7037,3373.9566050330545,183321140.31236103,3095.52213348
1965,12111.0,Italy,ITA,51677000,Italy,ITA,920.418,3454.1094549520203,632088875832.8209,3466.714059063128,187578635.5517171,3313.5048
1966,12659.0,Italy,ITA,52063000,Italy,ITA,999.784,3739.473471630663,666366816202.9381,3683.7884579069455,191836130.79107317,3599.2224
1967,13476.0,Italy,ITA,52433000,Italy,ITA,1083.685,4024.837488309371,700644756573.0554,3984.2911035221423,196093626.03043053,3901.266
1968,14513.0,Italy,ITA,52795000,Italy,ITA,1171.64,4310.201504988014,734922696943.1726,4341.1471054550875,200351121.2697866,4217.904
1969,15248.0,Italy,ITA,53155000,Italy,ITA,1261.9569999999999,4595.565521666656,769200637313.2898,4590.032236279533,204608616.50914267,4543.0452
1970,15492.0,Italy,ITA,53519000,Italy,ITA,1393.914,4880.929538345365,803478577683.407,4690.27641728217,215503301.94597116,5018.0904
1971,15683.0,Italy,ITA,53889000,Italy,ITA,1468.253,5166.293555024007,837756518053.5243,4774.521652248856,213174189.27997097,5285.7108
1972,16035.0,Italy,ITA,54259000,Italy,ITA,1539.895,5451.65757170265,872034458423.6415,4901.599846425883,210845076.61397076,5543.622
1973,16950.0,Italy,ITA,54619000,Italy,ITA,1608.1979999999999,5528.557443521277,906312398793.7587,5169.213017466611,208515963.94797057,5789.5127999999995
1974,17607.0,Italy,ITA,54958000,Italy,ITA,1607.485,5593.972791940769,940590339163.8759,5355.007482794415,206186851.28197035,5786.946
1975,17123.0,Italy,ITA,55265000,Italy,ITA,1573.005,5659.3881403602445,974868279533.9932,5261.860391848358,203857738.6159695,5662.818
1976,18147.0,Italy,ITA,55538000,Italy,ITA,1660.977,5724.803488779737,1009146219904.1104,5521.6140334174415,201528625.94996932,5979.5172
