En/CapFrance;GDP/CapFrance;ModelFrance;En/CapItaly;GDP/CapItaly;ModelItaly;En/CapNetherlands;GDP/CapNetherlands;ModelNetherlands;En/CapSpain;GDP/CapSpain;ModelSpain;En/CapUnited States;GDP/CapUnited States;ModelUnited States
6.72E-09;0.6773;56.96998302;7.99E-09;1.4513;80.1496983;7.76E-09;0.6245;62.64425151;2.96E-09;0.4769;29.28845536;;;
6.84E-09;0.6621;55.8243811;8.55E-09;1.5248;83.5088808;8.27E-09;0.6454;64.7429571;2.97E-09;0.49;30.0520574;;;
6.92E-09;0.7063;59.15095134;9.38E-09;1.5492;84.59519848;7.26E-09;0.6166;61.85068387;2.92E-09;0.5176;31.6597255;;;
7.37E-09;0.7508;62.48400712;9.81E-09;1.5683;85.43532237;7.12E-09;0.6258;62.774835;2.97E-09;0.5085;31.1298527;;;
7.40E-09;0.7224;60.35885557;1.02E-08;1.6035;86.95985586;6.13E-09;0.6306;63.25690862;3.12E-09;0.5037;30.85028197;;;
6.93E-09;0.6751;56.80427296;1.06E-08;1.695;90.77585303;5.19E-09;0.5781;57.98188181;3.18E-09;0.5587;34.05012114;;;
6.49E-09;0.6311;53.4832672;1.05E-08;1.7607;93.38224569;4.92E-09;0.5343;53.58011027;3.26E-09;0.6083;36.92731717;;;
6.45E-09;0.6757;56.8494707;1.02E-08;1.7123;91.47309695;6.13E-09;0.657;65.90721133;3.37E-09;0.6639;40.13988158;;;
6.36E-09;0.6682;56.2843261;1.08E-08;1.8147;95.43930371;6.13E-09;0.6727;67.48215337;3.52E-09;0.6945;41.9010572;;;
6.31E-09;0.6513;55.00945343;1.07E-08;1.8599;97.10141911;6.11E-09;0.7063;70.84889191;3.74E-09;0.742;44.62360643;;;
6.49E-09;0.6765;56.90972893;1.10E-08;1.923;99.33000634;6.81E-09;0.7331;73.52962762;4.18E-09;0.7881;47.25103864;;;
6.72E-09;0.7152;59.8189439;1.13E-08;2.0275;102.7840829;6.74E-09;0.7388;74.09916633;4.47E-09;0.8215;49.14443552;;;
6.45E-09;0.7119;59.57133483;1.10E-08;2.0959;104.8846725;7.00E-09;0.7803;78.23823316;4.65E-09;0.8606;51.34900621;;;
5.85E-09;0.764;63.46917358;1.07E-08;2.1041;105.1279881;7.27E-09;0.8019;80.38660933;5.21E-09;0.9307;55.26585312;;;
4.55E-09;0.6443;54.48085688;1.05E-08;2.1123;105.3694909;7.58E-09;0.8541;85.5586624;5.56E-09;0.9511;56.39641222;;;
4.37E-09;0.5274;45.61760626;1.02E-08;2.1345;106.0141823;7.94E-09;0.8773;87.84716121;6.05E-09;0.9894;58.50679582;;;
4.60E-09;0.4752;41.64665759;1.04E-08;2.1868;107.4804256;8.32E-09;0.9118;91.23721302;6.47E-09;1.0796;63.4093004;;;
4.03E-09;0.4559;40.17785874;1.03E-08;2.2469;109.0746549;8.75E-09;0.9068;90.74692844;7.02E-09;1.1638;67.891462;;;
3.66E-09;0.3861;34.86789636;1.06E-08;2.3106;110.659323;8.52E-09;0.8931;89.40172864;7.22E-09;1.2388;71.79955348;;;
4.41E-09;0.4101;36.69289261;1.09E-08;2.3824;112.3173035;8.25E-09;0.8265;82.82773008;7.34E-09;1.2621;72.99646378;;;
5.58E-09;0.6145;52.22732727;1.12E-08;2.4743;114.2443741;8.01E-09;0.8026;80.45615943;7.77E-09;1.3053;75.19310215;;;
6.42E-09;0.6596;55.63581064;1.15E-08;2.5454;115.5879762;7.86E-09;0.79;79.20355458;7.94E-09;1.3342;76.64582666;;;
6.70E-09;0.7002;58.69273826;1.15E-08;2.6003;116.5393597;7.85E-09;0.7659;76.80361357;7.89E-09;1.3573;77.79707336;;;
